_start,_stop,_time,_value,_field,_measurement,group,line,machine,site,tagName,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:50:00Z,896.1166666666671,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:51:00Z,887.2909090909092,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:52:00Z,892,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:53:00Z,896.1125000000003,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:54:00Z,896.9652174,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:55:00Z,896.7999999999996,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:56:00Z,895.8434782608699,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:57:00Z,898.7919999999998,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:58:00Z,898.1000000000001,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:59:00Z,898.8272727272728,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:00:00Z,893.3045454545453,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:01:00Z,895.8759999999997,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:02:00Z,903.1130434782611,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:03:00Z,902.2000000000004,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:04:00Z,903.0954545454547,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:05:00Z,907.7260869565217,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:06:00Z,903.4500000000002,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T17:07:00Z,901,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
